Fiscal Year,Month Grouping,Month (abbv),Component,Demographic,Citizenship Grouping,Title of Authority,Encounter Type,Encounter Count,,,,,,,,,,,,
2021,FYTD,OCT,U.S. Border Patrol,UC / Single Minors,Mexico,Title 42,Expulsions,2326,,,,,,,,,,,,
2021,FYTD,JAN,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,6,,,,,,,,,,,,
2021,FYTD,FEB,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,1457,,,,,,,,,,,,
2020,FYTD,FEB,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,763,,,,,,,,,,,,
2021,FYTD,APR,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,3,,,,,,,,,,,,
2020,FYTD,JUL,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,26029,,,,,,,,,,,,
2021,FYTD,MAR,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Expulsions,13491,,,,,,,,,,,,
2019,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,592,,,,,,,,,,,,
2020,FYTD,AUG,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,64,,,,,,,,,,,,
2019,FYTD,MAR,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,2437,,,,,,,,,,,,
2020,FYTD,JUN,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Expulsions,736,,,,,,,,,,,,
2021,FYTD,JAN,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,1139,,,,,,,,,,,,
2021,FYTD,MAR,Office of Field Operations,Accompanied Minors,Guatemala,Title 42,Expulsions,7,,,,,,,,,,,,
2021,FYTD,JAN,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,4432,,,,,,,,,,,,
2019,FYTD,JUN,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,2764,,,,,,,,,,,,
2021,FYTD,JUL,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,12363,,,,,,,,,,,,
2021,FYTD,MAR,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,10211,,,,,,,,,,,,
2021,FYTD,DEC,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,32367,,,,,,,,,,,,
2021,FYTD,APR,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,12462,,,,,,,,,,,,
2019,FYTD,DEC,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,81,,,,,,,,,,,,
2019,FYTD,JUN,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,1545,,,,,,,,,,,,
2021,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,287,,,,,,,,,,,,
2020,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,1081,,,,,,,,,,,,
2020,FYTD,MAY,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,16,,,,,,,,,,,,
2020,FYTD,OCT,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,39,,,,,,,,,,,,
2021,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,3880,,,,,,,,,,,,
2020,FYTD,MAR,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,667,,,,,,,,,,,,
2020,FYTD,JUN,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,403,,,,,,,,,,,,
2019,FYTD,JAN,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,10113,,,,,,,,,,,,
2021,FYTD,OCT,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,1150,,,,,,,,,,,,
2021,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,5310,,,,,,,,,,,,
2020,FYTD,SEP,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,11,,,,,,,,,,,,
2019,FYTD,JUL,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,0,,,,,,,,,,,,
2021,FYTD,AUG,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,8102,,,,,,,,,,,,
2020,FYTD,JUL,Office of Field Operations,Accompanied Minors,Mexico,Title 42,Expulsions,52,,,,,,,,,,,,
