Date,Growth,Value
201905,-6.39,-8.46
201906,7.11,7.35
201907,1.74,2.11
201908,-1.11,-7.15
201909,0.25,5.91
201910,2.66,2.31
201911,4.44,2.96
201912,2.76,4.39
202001,1.59,-4.96
202002,-7.03,-10.68
202003,-9.25,-27.54
202004,14.47,14.73
202005,6.18,3.49
202006,3.58,1.48
202007,7.17,3.49
202008,9.41,5.34
202009,-4.09,-4.5
202010,-2.8,0.97
202011,10.72,18.38
202012,4.64,6.19
202101,-0.45,2.28
202102,0.49,10.78
202103,2.19,7.2
202104,5.99,4.74
202105,-1.02,5.56
202106,4.84,-3.51
202107,2.87,-2.46
202108,3.54,2.99
202109,-5.43,-0.15
202110,7.92,5.97
202111,-0.5,-4.37
202112,2.57,4.65
