Date,Price
07/01/2022,1797
10/01/2022,1798.400024
11/01/2022,1818.599976
12/01/2022,1827.199951
13/01/2022,1821.199951
14/01/2022,1816.5
18/01/2022,1812.300049
19/01/2022,1843.099976
20/01/2022,1842.5
21/01/2022,1831.800049
24/01/2022,1841.699951
25/01/2022,1852.699951
26/01/2022,1829.900024
27/01/2022,1793.300049
28/01/2022,1784.900024
31/01/2022,1795
01/02/2022,1800.300049
02/02/2022,1809.199951
03/02/2022,1803
04/02/2022,1806.599976
07/02/2022,1820.599976
08/02/2022,1826.599976
09/02/2022,1835.199951
10/02/2022,1836.199951
11/02/2022,1840.800049
14/02/2022,1868
15/02/2022,1854.800049
16/02/2022,1870.199951
17/02/2022,1900.699951
18/02/2022,1898.599976
22/02/2022,1906.099976
23/02/2022,1909.199951
24/02/2022,1925.099976
25/02/2022,1886.5
28/02/2022,1899.400024
01/03/2022,1942.400024
02/03/2022,1920.900024
03/03/2022,1934.400024
04/03/2022,1965.099976
07/03/2022,1993.900024
08/03/2022,2040.099976
09/03/2022,1985.900024
10/03/2022,1998.099976
11/03/2022,1982.699951
14/03/2022,1959.599976
15/03/2022,1928.5
16/03/2022,1908
17/03/2022,1942.099976
18/03/2022,1928.199951
21/03/2022,1928.599976
22/03/2022,1920.699951
23/03/2022,1936.599976
24/03/2022,1961.599976
25/03/2022,1953.800049
28/03/2022,1939.599976
29/03/2022,1912
30/03/2022,1933.5
31/03/2022,1949.199951
01/04/2022,1919.099976
04/04/2022,1929.199951
05/04/2022,1922.900024
06/04/2022,1918.400024
07/04/2022,1933.800049
08/04/2022,1941.599976
11/04/2022,1944.300049
12/04/2022,1972.099976
13/04/2022,1981
14/04/2022,1970.900024
18/04/2022,1982.900024
19/04/2022,1955.699951
20/04/2022,1952.300049
21/04/2022,1944.900024
22/04/2022,1931
25/04/2022,1893.199951
26/04/2022,1901.400024
27/04/2022,1885.900024
28/04/2022,1888.699951
29/04/2022,1909.300049
02/05/2022,1861.800049
03/05/2022,1868.800049
04/05/2022,1867
05/05/2022,1874
06/05/2022,1881.199951
09/05/2022,1857.099976
10/05/2022,1839.900024
11/05/2022,1852.599976
12/05/2022,1823.800049
13/05/2022,1807.400024
16/05/2022,1813.5
17/05/2022,1818.199951
18/05/2022,1815.900024
19/05/2022,1841.199951
