Date,fb,amzn,brk
06/06/2014,62.5,329.670013,128.649994
09/06/2014,62.880001,327.5,127.989998
10/06/2014,65.769997,332.410004,128.25
11/06/2014,65.779999,335.200012,128.220001
12/06/2014,64.290001,325.910004,127.279999
13/06/2014,64.5,326.269989,126.540001
16/06/2014,64.190002,327.619995,126.150002
17/06/2014,64.400002,325.619995,126.029999
18/06/2014,65.599998,334.380005,127.169998
19/06/2014,64.339996,327,127.25
20/06/2014,64.5,324.200012,126.739998
23/06/2014,65.370003,327.23999,126.669998
24/06/2014,65.720001,324.160004,126.779999
25/06/2014,67.440002,327.440002,127.129997
26/06/2014,67.129997,325.690002,127.099998
27/06/2014,67.599998,324.570007,127.32
30/06/2014,67.290001,324.779999,126.559998
01/07/2014,68.059998,332.390015,127.239998
02/07/2014,66.449997,332.850006,127.730003
03/07/2014,66.290001,337.48999,129.300003
07/07/2014,65.290001,333.549988,128.699997
08/07/2014,62.759998,323.809998,128.220001
09/07/2014,64.970001,329.970001,128.75
10/07/2014,64.870003,327.920013,128.449997
11/07/2014,66.339996,346.200012,128.630005
14/07/2014,67.900002,355.320007,128.979996
15/07/2014,67.169998,354.440002,128.490005
16/07/2014,67.660004,355.899994,128.110001
17/07/2014,66.410004,352.450012,126.519997
18/07/2014,68.419998,358.660004,128.279999
21/07/2014,69.400002,359.76001,128.580002
22/07/2014,69.269997,360.839996,128.419998
23/07/2014,71.290001,358.140015,128.130005
24/07/2014,74.980003,358.609985,128.350006
25/07/2014,75.190002,324.01001,127.550003
28/07/2014,74.919998,320.410004,128.369995
29/07/2014,73.709999,320,127.360001
30/07/2014,74.68,322.51001,127.739998
31/07/2014,72.650002,312.98999,125.43
01/08/2014,72.360001,307.059998,125.830002
04/08/2014,73.510002,313.649994,129.720001
05/08/2014,72.690002,312.320007,127.989998
06/08/2014,72.470001,313.890015,129.110001
07/08/2014,73.169998,311.450012,128.949997
08/08/2014,73.059998,316.799988,130.899994
11/08/2014,73.440002,318.329987,131.949997
12/08/2014,72.830002,319.320007,133.059998
13/08/2014,73.769997,326.279999,133.080002
14/08/2014,74.300003,333.209991,135.300003
15/08/2014,73.629997,333.630005,134.339996
18/08/2014,74.589996,334.529999,135.029999
19/08/2014,75.290001,335.130005,134.899994
20/08/2014,74.809998,335.779999,134.910004
21/08/2014,74.57,332.910004,136.809998
22/08/2014,74.57,331.589996,135.75
25/08/2014,75.019997,334.019989,136.229996
26/08/2014,75.959999,341.829987,136.25
27/08/2014,74.629997,343.179993,136.520004
28/08/2014,73.860001,340.019989,136.110001
29/08/2014,74.82,339.040009,137.25
02/09/2014,76.68,342.380005,137.960007
03/09/2014,75.830002,339,137.729996
04/09/2014,75.949997,345.950012,137.949997
05/09/2014,77.260002,346.380005,138.070007
08/09/2014,77.889999,342.339996,138.279999
09/09/2014,76.669998,329.75,136.889999
10/09/2014,77.43,331.329987,137.720001
11/09/2014,77.919998,330.519989,137.919998
12/09/2014,77.480003,331.190002,137.089996
15/09/2014,74.580002,323.890015,138.039993
16/09/2014,76.080002,327.76001,138.690002
17/09/2014,76.43,324,139.610001
18/09/2014,77,325,141.279999
19/09/2014,77.910004,331.320007,140.559998
22/09/2014,76.800003,324.5,139.259995
23/09/2014,78.290001,323.630005,138.779999
24/09/2014,78.540001,328.209991,139.949997
25/09/2014,77.220001,321.929993,137.089996
26/09/2014,78.790001,323.209991,138.679993
29/09/2014,79,321.820007,138.330002
30/09/2014,79.040001,322.440002,138.139999
01/10/2014,76.550003,317.459991,136.619995
02/10/2014,77.080002,318.410004,137.639999
03/10/2014,77.440002,322.73999,139.5
06/10/2014,77.559998,322.200012,139.160004
07/10/2014,76.290001,316.980011,136.720001
08/10/2014,77.519997,322.700012,139.940002
09/10/2014,75.910004,315.369995,137.089996
10/10/2014,72.910004,311.390015,136.759995
13/10/2014,72.989998,306.450012,136.380005
14/10/2014,73.589996,308.309998,137.389999
15/10/2014,73.209999,305.970001,135.639999
16/10/2014,72.629997,302.859985,134.699997
17/10/2014,75.949997,303.640015,137.089996
20/10/2014,76.949997,306.209991,137.229996
21/10/2014,78.690002,315.329987,138.970001
22/10/2014,78.370003,312.970001,137.649994
23/10/2014,80.040001,313.179993,138.679993
24/10/2014,80.669998,287.059998,139.399994
27/10/2014,80.279999,289.970001,139.529999
28/10/2014,80.769997,295.589996,140.460007
29/10/2014,75.860001,294.119995,139.990005
30/10/2014,74.110001,299.070007,139.539993
31/10/2014,74.989998,305.459991,140.160004
03/11/2014,73.879997,305.720001,140.809998
04/11/2014,75.760002,302.809998,142.179993
05/11/2014,74.830002,296.519989,142.919998
06/11/2014,75.260002,296.640015,143.289993
07/11/2014,75.599998,299.859985,143.610001
10/11/2014,75,305.109985,145.050003
11/11/2014,74.610001,312.01001,144.949997
12/11/2014,74.720001,311.51001,145.520004
13/11/2014,74.25,316.480011,146.289993
14/11/2014,74.879997,327.820007,145.520004
17/11/2014,74.239998,323.049988,145.369995
18/11/2014,74.339996,324.929993,145.809998
19/11/2014,73.330002,326.540009,145.649994
20/11/2014,73.599998,330.540009,145.720001
21/11/2014,73.75,332.630005,146.699997
24/11/2014,74.010002,335.640015,147.270004
25/11/2014,75.629997,335.040009,147.809998
26/11/2014,77.620003,333.570007,148.190002
28/11/2014,77.699997,338.640015,148.690002
01/12/2014,75.099998,326,148.520004
02/12/2014,75.459999,326.309998,149.869995
03/12/2014,74.879997,316.5,149.729996
04/12/2014,75.239998,316.929993,150.050003
05/12/2014,76.360001,312.630005,150.679993
08/12/2014,76.519997,306.640015,151.940002
09/12/2014,76.839996,312.5,150.460007
10/12/2014,76.18,305.839996,149.080002
11/12/2014,77.730003,307.359985,150.130005
12/12/2014,77.830002,307.320007,146.460007
15/12/2014,76.989998,306.070007,146.119995
16/12/2014,74.690002,295.059998,145.279999
17/12/2014,76.110001,298.880005,148.449997
18/12/2014,78.400002,297.730011,152.669998
19/12/2014,79.879997,299.899994,151.559998
